State,Total; Estimate; Less than high school graduate
Alabama,17.5
Alaska,20.2
Arizona,17.9
Arkansas,13.8
California,13.9
Colorado,15.8
Connecticut,12.9
Delaware,13.9
District of Columbia,11.2
Florida,16.7
Georgia,18
Hawaii,8.7
Idaho,13.8
Illinois,13.6
Indiana,17.1
Iowa,11.5
Kansas,13
Kentucky,14.5
Louisiana,20.7
Maine,11.7
Maryland,11.7
Massachusetts,10.7
Michigan,14
Minnesota,12.8
Mississippi,18.8
Missouri,13
Montana,16
Nebraska,12.6
Nevada,20.3
New Hampshire,10.4
New Jersey,12.4
New Mexico,18.8
New York,13.2
North Carolina,15.9
North Dakota,9.2
Ohio,14.6
Oklahoma,17.9
Oregon,13.8
Pennsylvania,12.7
Rhode Island,10
South Carolina,16.7
South Dakota,15.4
Tennessee,12.9
Texas,17.1
Utah,13.4
Vermont,9.4
Virginia,11.1
Washington,15.9
West Virginia,14.6
Wisconsin,12.5
Wyoming,12.4
Puerto Rico,13.4
