State,% Income of Top 1%,Year
Alabama,14.54,2013
Alaska,11.12,2013
Arizona,16.36,2013
Arkansas,17.07,2013
California,22.72,2013
Colorado,16.91,2013
Connecticut,30.83,2013
Delaware,13.25,2013
District of Columbia,19.64,2013
Florida,25.77,2013
Georgia,16.63,2013
Hawaii,11.36,2013
Idaho,14.04,2013
Illinois,20.18,2013
Indiana,13.95,2013
Iowa,11.71,2013
Kansas,15.89,2013
Kentucky,14.04,2013
Louisiana,16.41,2013
Maine,12.72,2013
Maryland,14.27,2013
Massachusetts,24.38,2013
Michigan,17.40,2013
Minnesota,16.44,2013
Mississippi,13.82,2013
Missouri,16.15,2013
Montana,14.38,2013
Nebraska,13.13,2013
Nevada,27.78,2013
New Hampshire,15.01,2013
New Jersey,20.71,2013
New Mexico,13.60,2013
New York,31.81,2013
North Carolina,14.63,2013
North Dakota,17.84,2013
Ohio,14.69,2013
Oklahoma,16.71,2013
Oregon,15.02,2013
Pennsylvania,16.53,2013
Rhode Island,15.64,2013
South Carolina,15.22,2013
South Dakota,16.14,2013
Tennessee,16.59,2013
Texas,21.19,2013
United States,20.08,2013
Utah,15.60,2013
Vermont,13.42,2013
Virginia,14.46,2013
Washington,17.59,2013
West Virginia,12.30,2013
Wisconsin,15.89,2013
Wyoming,29.58,2013
